predict_id,filename,timestamp,track_id,width,height,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing
87144f87-f092-44bd-a773-e2eaf0e17d87,testvideo.mp4,0.0,tensor(1.),480,854,0,238,113,389
6ebd6af5-3ebb-4a21-a9b7-4d422ac93ce5,testvideo.mp4,0.0,tensor(2.),480,854,314,173,166,597
8973ff6e-dd9b-49bf-b313-006f1d2f8bf6,testvideo.mp4,0.5,tensor(1.),480,854,0,230,133,435
d35e5c7a-686f-4599-9005-cd1b0e7655da,testvideo.mp4,0.5,tensor(2.),480,854,279,143,201,604
c936bbeb-0439-409d-9a87-4d5ab6c06a53,testvideo.mp4,1.0,tensor(1.),480,854,2,230,153,449
61ce21c2-cb3f-49c5-b4bb-ca2ffd5a94bf,testvideo.mp4,1.0,tensor(2.),480,854,298,144,181,620
e3b9fc50-6b79-4f89-bd97-0dddf8db5a01,testvideo.mp4,1.5,tensor(1.),480,854,3,225,160,458
f2e8125b-f205-4b09-9a32-fa1cab322cfd,testvideo.mp4,1.5,tensor(2.),480,854,304,146,176,614
b4b6f481-9bc0-4fea-ad39-ae426b775ceb,testvideo.mp4,2.0,tensor(1.),480,854,19,218,160,470
1a6d6e58-d44e-4c61-8f90-f27eab886964,testvideo.mp4,2.0,tensor(2.),480,854,319,148,161,622
abaae6e1-ba96-4727-825c-f6a86ba7d2e7,testvideo.mp4,2.5,tensor(1.),480,854,21,219,162,467
5040abf0-66f4-4e63-a68f-643e14ee8a1b,testvideo.mp4,2.5,tensor(2.),480,854,321,166,158,597
de543474-b1bc-4a58-804f-8b3e23a16495,testvideo.mp4,3.0,tensor(1.),480,854,16,216,176,471
7f01a391-ae0f-4352-9064-c23db733175c,testvideo.mp4,3.0,tensor(2.),480,854,312,168,167,587
812ae8fe-5e75-4f0e-9dca-04eb79781073,testvideo.mp4,3.5,tensor(1.),480,854,19,217,161,472
16f5574d-2ba7-4733-8c1b-eaea0b6caf3e,testvideo.mp4,3.5,tensor(2.),480,854,314,162,165,591
dd7f1ef7-657b-499b-ac75-d271852146e2,testvideo.mp4,4.0,tensor(1.),480,854,29,214,169,475
fa739cc2-7cc8-40e3-a4fb-6797326c0073,testvideo.mp4,4.0,tensor(2.),480,854,303,166,177,586
46ef80f4-19e8-414d-bc5c-3f20ac98400a,testvideo.mp4,4.5,tensor(1.),480,854,17,214,186,475
bc177a27-5194-4437-9682-f041e7338e22,testvideo.mp4,4.5,tensor(2.),480,854,270,169,195,582
7134788d-16a3-4af4-8964-b84dada62c36,testvideo.mp4,5.0,tensor(1.),480,854,22,216,170,482
3b62a20d-3a25-49c6-bfae-479457d31688,testvideo.mp4,5.0,tensor(2.),480,854,244,188,189,568
9a495417-d52e-4da5-acb3-c47e6ab186f5,testvideo.mp4,5.5,tensor(1.),480,854,21,222,176,463
c0b3b63d-47e8-4ae8-87b6-8450e377797c,testvideo.mp4,5.5,tensor(2.),480,854,237,188,187,563
e8fe311c-5c9e-4f66-936b-ca3ca12d7820,testvideo.mp4,6.0,tensor(1.),480,854,24,215,166,478
0a5a184a-ab0f-48b0-bf36-020ee9402688,testvideo.mp4,6.0,tensor(2.),480,854,249,173,191,571
7686642f-fa3f-4abd-b4a0-24a8fc44c315,testvideo.mp4,6.5,tensor(1.),480,854,23,215,162,483
fb41c257-0d14-4e4a-9655-26c33973d378,testvideo.mp4,6.5,tensor(2.),480,854,237,158,197,599
b40435aa-4ae3-4b37-8fcf-22d7f6c16f22,testvideo.mp4,7.0,tensor(1.),480,854,29,231,161,469
aa28dfcd-22bb-4b5c-8e4c-81dcbf9aa36b,testvideo.mp4,7.0,tensor(2.),480,854,242,166,202,596
fb0cf275-9014-496d-91a9-bf273396da4c,testvideo.mp4,7.5,tensor(1.),480,854,28,229,161,478
53405aa8-bc0a-4c91-88fc-90f384af6686,testvideo.mp4,7.5,tensor(2.),480,854,234,180,207,599
321003ea-5589-4977-a09e-3e80e40414d4,testvideo.mp4,8.0,tensor(1.),480,854,27,226,167,474
073717b7-d65c-40f3-9da4-dc7ce09a3197,testvideo.mp4,8.0,tensor(2.),480,854,241,173,204,576
8cfd903e-6368-4044-a41f-1ee266881c7b,testvideo.mp4,8.5,tensor(1.),480,854,22,210,166,483
f2f60185-2ba0-492a-b9b2-0ffbf0d14784,testvideo.mp4,8.5,tensor(2.),480,854,231,161,210,594
efe3b12d-85f3-4989-881a-6ef47a6b7a6c,testvideo.mp4,9.0,tensor(1.),480,854,36,207,159,484
be5b03f4-ee55-4079-87e4-18862f9825c0,testvideo.mp4,9.0,tensor(2.),480,854,233,159,211,593
a09a3cfb-d9d9-49fa-9443-ad1823c17473,testvideo.mp4,9.5,tensor(1.),480,854,42,208,173,482
51973e55-6694-4267-9361-6d202a7756a2,testvideo.mp4,9.5,tensor(2.),480,854,232,160,202,594
42bd7b69-1d23-4c52-ae74-f96a8f6f0446,testvideo.mp4,10.0,tensor(1.),480,854,54,210,155,477
30c9a5e8-cecf-4ff0-b15b-c74d86d114e9,testvideo.mp4,10.0,tensor(2.),480,854,236,162,211,592
3af0f1ec-1a7a-4405-8860-c95e9c0207c0,testvideo.mp4,10.5,tensor(1.),480,854,18,235,153,438
6d136b24-3520-4c54-8fe6-095c574f8323,testvideo.mp4,10.5,tensor(2.),480,854,237,195,217,564
5f80d9bf-3725-4ef0-a80a-d70688335566,testvideo.mp4,11.0,tensor(2.),480,854,273,163,198,613
c22d77a3-a367-4f89-b78a-9d8d39079a5d,The-Weekend.mp4,0.48,tensor(3.),640,360,294,160,71,113
