predict_id,filename,timestamp,track_id,width,height,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing
0a77c777-0e87-4f2f-8979-a2910e3a6da4,testvideo.mp4,0.0,1,480,854,0,238,113,389,,,,
5a942a89-9ecf-47ab-a7ff-8202785abe28,testvideo.mp4,0.0,2,480,854,314,173,166,597,,,,
98d720d8-c484-406f-9b89-40f1a760e019,testvideo.mp4,0.5,1,480,854,0,230,133,435,,,,
f42f7f97-08da-42cd-be6e-e57396a9b794,testvideo.mp4,0.5,2,480,854,279,143,201,604,,,,
9c9ede71-cc54-4872-997d-4780cec761d0,testvideo.mp4,1.0,1,480,854,2,230,153,449,,,,
48419d4c-e09c-4c42-8558-81e6d6c8984f,testvideo.mp4,1.0,2,480,854,298,144,181,620,,,,
bdb53a24-1cba-4682-8399-2be1a69692cd,testvideo.mp4,1.5,1,480,854,3,225,160,458,,,,
7edd0200-fab3-4f5c-9aa3-513b5ace6440,testvideo.mp4,1.5,2,480,854,304,146,176,614,,,,
7a540afe-917d-4b32-a2c0-2d17e9d97f01,testvideo.mp4,2.0,1,480,854,19,218,160,470,,,,
49e4c622-53b7-4709-baa0-7e5d346b7d3c,testvideo.mp4,2.0,2,480,854,319,148,161,622,,,,
8ed17abd-904c-47d1-8011-99a84b9e58e1,testvideo.mp4,2.5,1,480,854,21,219,162,467,,,,
af5af152-4cb9-4b95-8c5e-b3a52721a699,testvideo.mp4,2.5,2,480,854,321,166,158,597,,,,
81f368c3-5740-4ac7-8a35-fbb812a1313d,testvideo.mp4,3.0,1,480,854,16,216,176,471,,,,
7a83234b-e745-46b8-86a3-9b5be4398843,testvideo.mp4,3.0,2,480,854,312,168,167,587,,,,
72083fbb-5252-4ec9-99ce-9918fdefeb11,testvideo.mp4,3.5,1,480,854,19,217,161,472,,,,
c3b78a71-51a4-40c7-9c58-7843a8401ace,testvideo.mp4,3.5,2,480,854,314,162,165,591,,,,
547b29fb-8aff-46aa-af0d-dc46645239bc,testvideo.mp4,4.0,1,480,854,29,214,169,475,,,,
bcfca2c9-f0f6-44a7-b0f9-ac24ed4c075b,testvideo.mp4,4.0,2,480,854,303,166,177,586,,,,
b5bc8c27-434c-42da-9ae6-03563c2a18e9,testvideo.mp4,4.5,1,480,854,17,214,186,475,,,,
80fefaef-5db2-48ad-9ffc-3dbc5b36f2ce,testvideo.mp4,4.5,2,480,854,270,169,195,582,,,,
3c56bf33-4169-4ae7-8f95-5a73aed4bb80,testvideo.mp4,5.0,1,480,854,22,216,170,482,,,,
5a4b655b-d57c-479e-a318-8cc0804e682f,testvideo.mp4,5.0,2,480,854,244,188,189,568,,,,
26e56ef0-fae3-487f-8303-1fe922cacb4c,testvideo.mp4,5.5,1,480,854,21,222,176,463,,,,
33725444-6df5-4b19-b373-783281be01e5,testvideo.mp4,5.5,2,480,854,237,188,187,563,,,,
b8e43974-7411-4570-a393-fe7000aaac20,testvideo.mp4,6.0,1,480,854,24,215,166,478,,,,
fd1702f0-1e5f-44a8-86db-a21a86641575,testvideo.mp4,6.0,2,480,854,249,173,191,571,,,,
4690ce73-5468-4f42-9fbf-9f0e5c2295fa,testvideo.mp4,6.5,1,480,854,23,215,162,483,,,,
56e196dd-a8ac-4f83-bf5a-f3b604025540,testvideo.mp4,6.5,2,480,854,237,158,197,599,,,,
a459e020-4af2-4697-bc5d-3b2b3a76eab0,testvideo.mp4,7.0,1,480,854,29,231,161,469,,,,
b4a8fa9e-1568-4163-8946-d08ebdaeeeb7,testvideo.mp4,7.0,2,480,854,242,166,202,596,,,,
2653f707-1f4e-4caa-b422-eeb9a9cfe9db,testvideo.mp4,7.5,1,480,854,28,229,161,478,,,,
bc2732f8-7245-40bf-b2de-40df5aa9d940,testvideo.mp4,7.5,2,480,854,234,180,207,599,,,,
14953c8d-c9cf-4e8d-9f02-62e3424387e3,testvideo.mp4,8.0,1,480,854,27,226,167,474,,,,
16232a91-9c62-437f-990b-342bc4006077,testvideo.mp4,8.0,2,480,854,241,173,204,576,,,,
a35d246c-4b2a-4459-9465-8eb9250bc0f5,testvideo.mp4,8.5,1,480,854,22,210,166,483,,,,
857b8296-bb6d-4326-a2ed-0fe6a0db8f0e,testvideo.mp4,8.5,2,480,854,231,161,210,594,,,,
a308a7e1-5eef-4776-aa90-737ed6d89ac5,testvideo.mp4,9.0,1,480,854,36,207,159,484,,,,
8944d044-11bc-4dae-a550-f08288fa38c7,testvideo.mp4,9.0,2,480,854,233,159,211,593,,,,
8473a81c-0fbe-48bd-b775-9ef04f1d377c,testvideo.mp4,9.5,1,480,854,42,208,173,482,,,,
b5a7d880-e61a-48e6-bbf1-69abba8987c0,testvideo.mp4,9.5,2,480,854,232,160,202,594,,,,
8ec75bf9-1c18-474d-946f-40f16ef629b6,testvideo.mp4,10.0,1,480,854,54,210,155,477,,,,
7cc2de37-8042-49e1-8004-5452e65f48e4,testvideo.mp4,10.0,2,480,854,236,162,211,592,,,,
0d65c0ae-5530-4327-8e16-5c0a231f4d8a,testvideo.mp4,10.5,1,480,854,18,235,153,438,,,,
119477cc-03db-40a2-8f7a-abc14aa7bb61,testvideo.mp4,10.5,2,480,854,237,195,217,564,,,,
1964f931-3709-444f-8eb7-47c678918bda,testvideo.mp4,11.0,2,480,854,273,163,198,613,,,,
6bd4ab2e-c2f0-4bcb-8b90-42abc986b16c,The-Weekend.mp4,0.48,3,640,360,294,160,71,113,,,,
df0aa8b0-3aff-479e-9774-9c15ddc1d9e9,The-Weekend.mp4,0.96,3,640,360,289,157,80,122,,,,
ee87f3c2-e735-4d78-94f9-cc6c24331c9c,The-Weekend.mp4,1.44,3,640,360,282,148,87,138,,,,
09ab6eee-5d3b-4184-817d-7190b84f1bc8,The-Weekend.mp4,1.92,3,640,360,273,138,99,157,,,,
584eb15c-8556-413b-929a-e3eabd359888,The-Weekend.mp4,2.4,3,640,360,261,132,117,173,,,,
7c19a784-7ff9-4b7e-8de0-7ce757212fe5,The-Weekend.mp4,2.88,3,640,360,257,123,129,194,,,,
012e2a46-07fb-4b17-a52d-f81729889cc2,The-Weekend.mp4,3.36,3,640,360,258,116,142,216,,,,
7b618041-7126-47ba-b84d-d340ef7c2728,The-Weekend.mp4,3.84,3,640,360,257,111,160,239,,,,
