predict_id,filename,width,height,timestamp,class,class_name,confidence,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing,mean_color_bgr,track_id
d1160893-23ec-4322-a745-b151919aa6eb,testvideo.mp4,480,854,0.0,1,long sleeve top,0.88,0,238,113,389,0,49,112,153,[     176.66         215      229.52],1
7112c00c-fe77-42f9-9fb9-378bdc15e515,testvideo.mp4,480,854,0.5,1,long sleeve top,0.95,0,230,133,435,0,58,133,169,[      188.4      224.16      237.11],1
a546cfba-7896-4b52-a3cf-2e0c4b7ae72f,testvideo.mp4,480,854,0.5,1,long sleeve top,0.72,279,143,201,604,3,75,198,195,[     105.62      131.37      188.53],2
6b5e77eb-61e5-418d-a082-597fa2d2dbc8,testvideo.mp4,480,854,1.0,1,long sleeve top,0.94,2,230,153,449,0,60,151,162,[      189.7      222.93      235.43],1
a229bc17-ce0f-455e-ade5-8d3d32a8e60c,testvideo.mp4,480,854,1.5,1,long sleeve top,0.94,3,225,160,458,0,59,157,170,[      190.6      222.33      235.43],1
b6971500-95a7-4c97-9202-dc66026a3231,testvideo.mp4,480,854,1.5,1,long sleeve top,0.43,304,146,176,614,0,86,176,224,[     214.51      213.46      175.37],2
5d3fa2ba-3d35-4162-9a94-09c7960ec866,testvideo.mp4,480,854,2.0,1,long sleeve top,0.93,19,218,160,470,6,61,153,176,[     179.22      214.95      228.15],1
cf819a74-dea4-4bcc-bc7d-08940ac60e08,testvideo.mp4,480,854,2.0,1,long sleeve top,0.94,319,148,161,622,3,78,158,232,[     203.07      206.91      164.41],2
b650c485-2842-43ec-8989-95a64f2975e9,testvideo.mp4,480,854,2.5,1,long sleeve top,0.93,21,219,162,467,0,67,161,166,[     194.54      225.62      237.36],1
00925412-ba14-40db-9adc-234fb7ae9a07,testvideo.mp4,480,854,2.5,1,long sleeve top,0.88,321,166,158,597,4,69,149,218,[     217.89      221.39      186.07],2
a292b8e7-4aa2-4c80-9cce-88f14217e730,testvideo.mp4,480,854,3.0,1,long sleeve top,0.84,312,168,167,587,28,67,139,226,[     219.12      220.49      180.64],2
5cebb008-8727-40cd-8c77-4e7641d0616c,testvideo.mp4,480,854,3.5,1,long sleeve top,0.37,314,162,165,591,29,69,133,230,[     215.22      215.19      175.73],2
bf9b8e3b-6ffe-4338-8745-313f164071d5,testvideo.mp4,480,854,4.0,1,long sleeve top,0.9,29,214,169,475,13,63,156,180,[     183.06      217.07      230.06],1
5797f3f7-aca1-43a0-b4c0-e2f21b7d6d60,testvideo.mp4,480,854,4.0,1,long sleeve top,0.89,303,166,177,586,9,79,167,219,[      213.7      215.08      177.66],2
1a5c5cb8-7aa0-4053-9425-11b46e449732,testvideo.mp4,480,854,4.5,1,long sleeve top,0.36,270,169,195,582,2,54,188,221,[     217.28      218.75      182.69],2
01fabcf8-faa2-40ce-947a-6577b9771f0c,testvideo.mp4,480,854,5.0,1,long sleeve top,0.94,22,216,170,482,26,62,134,177,[     44.678      4.9006      198.55],1
0c02e8a6-afa0-44a0-8343-3cc076c86f54,testvideo.mp4,480,854,5.5,1,long sleeve top,0.79,237,188,187,563,0,51,186,235,[     88.991       62.68      44.654],2
b778e48c-bbc7-499e-810d-3cfb32911752,testvideo.mp4,480,854,6.0,1,long sleeve top,0.94,24,215,166,478,0,61,159,178,[     42.147      4.2002      194.01],1
ce0bdf23-2cd5-4ca8-a1cd-8ccf35798362,testvideo.mp4,480,854,6.0,1,long sleeve top,0.92,249,173,191,571,7,65,182,239,[     87.074      59.521      40.204],2
