predict_id,filename,width,height,timestamp,class,class_name,confidence,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing,mean_color_bgr,track_id
10d24d72-4d2d-475c-b506-9609cd6e7b50,testvideo.mp4,480,854,0.0,1,long sleeve top,0.88,0,238,113,389,0,49,112,153,[     176.76      215.13      229.63],1
30031e7f-ded1-44ab-90e9-87c9986c4a7a,testvideo.mp4,480,854,0.0,7,trousers,0.61,0,238,113,389,0,170,92,201,[     210.07      223.56      229.33],1
57753fe9-9215-4e8c-86e1-a9da80c064b4,testvideo.mp4,480,854,0.0,4,vest,0.79,314,173,166,597,30,38,129,187,[     111.52      136.09      194.92],2
a0794b58-b611-4d9a-80e4-3d1ed485d16c,testvideo.mp4,480,854,0.0,6,shorts,0.92,314,173,166,597,18,205,115,127,[     226.04      193.68      184.68],2
83b234dd-387c-4394-b6ec-1df30bebf1e5,testvideo.mp4,480,854,0.5,1,long sleeve top,0.95,0,230,133,435,0,58,133,169,[     188.37      224.12      237.08],1
a0fb7cda-1c8b-452c-8ca6-404f2d13e6e5,testvideo.mp4,480,854,0.5,7,trousers,0.9,0,230,133,435,25,190,108,220,[     219.65      227.61      233.24],1
16e6eefc-7bd5-4381-b3a0-cc4d48a11d7d,testvideo.mp4,480,854,0.5,1,long sleeve top,0.72,279,143,201,604,3,75,198,195,[     105.64      131.39      188.55],2
0fab477d-c944-4c47-83b9-a685f78716f0,testvideo.mp4,480,854,0.5,6,shorts,0.9,279,143,201,604,63,242,138,125,[     218.18      182.61      177.97],2
babe79a3-c52b-49cf-bddc-f80ecf6c5d88,testvideo.mp4,480,854,1.0,1,long sleeve top,0.94,2,230,153,449,0,60,151,162,[     189.38      222.65      235.21],1
43d16bfa-1ddf-4c29-a52e-bec2cb03f86f,testvideo.mp4,480,854,1.0,7,trousers,0.9,2,230,153,449,25,173,128,252,[     212.47      221.09      227.09],1
2d02fb0c-e1bb-44f3-885d-6389b5656fdb,testvideo.mp4,480,854,1.0,3,long sleeve outwear,0.66,298,144,181,620,9,78,166,215,[     136.78      151.14      197.83],2
53cb988e-fb8d-44d2-b7e6-0e26fffc5f89,testvideo.mp4,480,854,1.0,6,shorts,0.93,298,144,181,620,41,245,126,121,[     219.63      188.16      186.59],2
ba7f4846-e957-417a-99e9-92188a9aa6ef,testvideo.mp4,480,854,1.5,1,long sleeve top,0.94,3,225,160,458,0,59,157,170,[     190.74      222.47      235.54],1
3110d16f-c673-41e4-96d2-86b9393a05da,testvideo.mp4,480,854,1.5,7,trousers,0.88,3,225,160,458,21,177,137,256,[     213.58      221.23      227.86],1
82252b3a-917c-476c-bdb2-0743273c887c,testvideo.mp4,480,854,1.5,1,long sleeve top,0.43,304,146,176,614,0,86,176,224,[     214.53      213.47      175.37],2
b14c3ac9-bbc8-48f0-ac40-0c00fce0c15b,testvideo.mp4,480,854,1.5,7,trousers,0.74,304,146,176,614,35,247,141,324,[     208.76      212.27      217.72],2
cb26fa8a-ad0f-42d9-bebb-47b15ef69328,testvideo.mp4,480,854,2.0,1,long sleeve top,0.93,19,218,160,470,6,61,153,176,[     179.27      215.01       228.2],1
09dd1004-f6ac-4ae7-b13b-b706a08afd56,testvideo.mp4,480,854,2.0,7,trousers,0.89,19,218,160,470,17,195,117,246,[     215.74      222.92      228.39],1
77aca281-ca9d-4a3d-ba45-0c304952a624,testvideo.mp4,480,854,2.0,1,long sleeve top,0.94,319,148,161,622,3,78,158,232,[     203.05      206.88       164.4],2
95e6591b-3193-4d24-a368-97fecb38e048,testvideo.mp4,480,854,2.0,7,trousers,0.91,319,148,161,622,33,259,128,307,[     210.08       216.3       217.8],2
4c61e65c-1eda-4a36-b50a-dba6234be847,testvideo.mp4,480,854,2.5,1,long sleeve top,0.93,21,219,162,467,0,67,161,166,[     194.56      225.63      237.36],1
0f8b3329-d304-4617-9a9b-265a8630c2ec,testvideo.mp4,480,854,2.5,7,trousers,0.76,21,219,162,467,19,178,126,264,[     211.16      220.11      226.39],1
09a542a4-8205-4fa1-b822-8d0ad1f31d71,testvideo.mp4,480,854,2.5,1,long sleeve top,0.88,321,166,158,597,4,69,149,218,[     218.09      221.56      186.25],2
64dec116-71d5-4728-b99f-6aecadbf569d,testvideo.mp4,480,854,2.5,7,trousers,0.89,321,166,158,597,35,253,117,302,[     211.52      217.54      220.54],2
4c2fb9ae-8d5b-4d2c-ac19-199a29aa95d9,testvideo.mp4,480,854,3.0,3,long sleeve outwear,0.38,16,216,176,471,2,62,148,175,[     171.74      208.64      222.65],1
74da7e5a-9d41-48d5-ba14-b4fb53c3ec6a,testvideo.mp4,480,854,3.0,7,trousers,0.85,16,216,176,471,37,204,106,240,[     212.21      221.32      227.04],1
ead764eb-b63b-4084-bdd9-6082e0cba77d,testvideo.mp4,480,854,3.0,1,long sleeve top,0.84,312,168,167,587,28,67,139,226,[     219.13       220.5      180.65],2
d01e422c-811a-44de-8aab-bcc6b4dd9a90,testvideo.mp4,480,854,3.0,7,trousers,0.8,312,168,167,587,39,241,93,322,[     214.47         218      219.42],2
4868753d-39a8-4b74-9b29-db777758048d,testvideo.mp4,480,854,3.5,7,trousers,0.87,19,217,161,472,28,193,114,254,[     213.87       222.6       229.1],1
41071328-b6b1-478b-ab2b-8580f875bbd7,testvideo.mp4,480,854,3.5,10,long sleeve dress,0.76,19,217,161,472,2,58,147,179,[     128.97      157.16      187.62],1
2fae7b95-4c6f-4248-bac6-99a7677b5959,testvideo.mp4,480,854,3.5,1,long sleeve top,0.37,314,162,165,591,29,69,133,230,[     215.45      215.38      175.91],2
b4875813-4636-4875-9969-1f23a022174c,testvideo.mp4,480,854,3.5,7,trousers,0.87,314,162,165,591,21,235,112,333,[     213.85      216.88      217.08],2
1f6beeac-c146-43a8-9e54-d50f63457eae,testvideo.mp4,480,854,4.0,1,long sleeve top,0.9,29,214,169,475,13,63,156,180,[     183.08      217.09      230.07],1
